prot	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190808yix_HCCC_b5_14-HCCC_b5_14.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190808yix_HCCC_b5_15-HCCC_b5_15.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190809yix_HCCC_b6_7-HCCC_b6_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190809yix_HCCC_b6_8-HCCC_b6_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190810yix_HCCC_b7_7-HCCC_b7_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190810yix_HCCC_b7_8-HCCC_b7_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190811yix_HCCC_b8_5-HCCC_b8_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190811yix_HCCC_b8_6-HCCC_b8_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190813yix_HCCC_b10_3-HCCC_b10_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190813yix_HCCC_b10_4-HCCC_b10_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190814yix_HCCC_b11_3-HCCC_b11_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190814yix_HCCC_b11_4-HCCC_b11_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190815yix_HCCC_b12_12-HCCC_b12_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190815yix_HCCC_b12_13-HCCC_b12_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190818yix_HCCC_b14_4-HCCC_b14_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190818yix_HCCC_b14_4_repA-HCCC_b14_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190829yix_HCCC_b23_8-HCCC_b23_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_3-HCCC_b24_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_4-HCCC_b24_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_4_repA-HCCC_b24_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_5-HCCC_b24_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_11-HCCC_b17_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_12-HCCC_b17_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_5-HCCC_b17_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_6-HCCC_b17_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190823yix_HCCC_b18_8-HCCC_b18_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190823yix_HCCC_b18_9-HCCC_b18_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190824yix_HCCC_b19_13-HCCC_b19_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190824yix_HCCC_b19_14-HCCC_b19_14.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190827yix_HCCC_b21_7-HCCC_b21_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190818yix_HCCC_b14_5-HCCC_b14_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190827yix_HCCC_b21_9-HCCC_b21_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_10-HCCC_b22_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_11-HCCC_b22_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_7-HCCC_b22_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_9-HCCC_b22_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190829yix_HCCC_b23_10-HCCC_b23_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190829yix_HCCC_b23_9-HCCC_b23_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190808yix_HCCC_b5_13-HCCC_b5_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190809yix_HCCC_b6_6-HCCC_b6_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190810yix_HCCC_b7_6-HCCC_b7_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190811yix_HCCC_b8_4-HCCC_b8_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190811yix_HCCC_b8_4_repA-HCCC_b8_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190813yix_HCCC_b10_2-HCCC_b10_2.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190813yix_HCCC_b10_2_repA-HCCC_b10_2_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190814yix_HCCC_b11_2-HCCC_b11_2.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190814yix_HCCC_b11_2_repA-HCCC_b11_2_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190815yix_HCCC_b12_11-HCCC_b12_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190818yix_HCCC_b14_3-HCCC_b14_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_10-HCCC_b17_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_4-HCCC_b17_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_4_repA-HCCC_b17_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190823yix_HCCC_b18_7-HCCC_b18_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190824yix_HCCC_b19_12-HCCC_b19_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190827yix_HCCC_b21_6-HCCC_b21_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190828yix_HCCC_b22_6-HCCC_b22_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190828yix_HCCC_b22_8-HCCC_b22_8.mzML
Q5VZ89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	556.022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5VZL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1213	2086.65
Q5W111	609.786	NA	NA	NA	NA	NA	977.056	NA	NA	NA	NA	NA	NA	NA	NA	NA	589.07	NA	NA	NA	NA	NA	NA	NA	NA	351.809	NA	NA	NA	NA	NA	1079.16	NA	NA	910.249	1788.98	NA	NA	NA	685.824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	172.729	269.368	NA	NA	NA	NA	NA
Q5XKE5;CON_IPI00124499.2|TREMBL:Q8VED5;CON_IPI00241841.9|SWISS-PROT:Q5XKE5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12066.8	28447.6	NA	NA	NA	NA	NA	19909.7	NA	NA	NA	NA	NA	104698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34119.9	NA
Q5XKE5;P08729;CON_IPI00406377.3|SWISS-PROT:Q9DCV7;CON_IPI00241841.9|SWISS-PROT:Q5XKE5;CON_IPI00306959.10|SWISS-PROT:P08729;CON_IPI00847342.1|TREMBL:Q3KNV1;Q96GE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10191.5	NA	7860.76	NA	8913.15	NA	NA	69461.9	NA	NA	52395.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200437	NA	NA	NA	NA	NA	NA	NA	NA	6999.71	NA	84469	61421.9	NA	NA	NA	NA	NA	NA	NA
Q5XKE5;P48668;P02538;O95678;P35908;P04259;P13647;CON_IPI00009867.3|SWISS-PROT:P13647;CON_IPI00021304.1|SWISS-PROT:P35908;CON_IPI00300725.7|SWISS-PROT:P02538;CON_IPI00299145.9|SWISS-PROT:P48668;CON_IPI00293665.7|SWISS-PROT:P04259;CON_IPI00124499.2|TREMBL:Q8VED5;CON_IPI00005859.3|SWISS-PROT:O95678;CON_IPI00241841.9|SWISS-PROT:Q5XKE5	908.028	1783.06	7340.6	1085.61	2461.35	5145.98	NA	NA	2033.9	11406.7	2794.47	1396.76	763.221	1745.98	2629.48	2253.18	13119.8	6176.44	18096.3	16600.5	7520.51	2357.68	2843.25	1428.78	6231.86	6762.83	2423.92	1366.11	4913.96	38519.1	2666.95	27756.9	3375.3	4683.92	7305.84	14929.7	4666.17	2606.5	NA	1640.7	NA	1480.15	1557.2	6937.06	2362.96	2398.98	1628.34	2440.31	1349.3	1339.76	1264.27	472.186	2408.37	1085.32	18427	3811.83	2537.29
Q5XKE5;P48668;P02538;P04264;P05787;P04259;P13647;CON_IPI00220327.3|SWISS-PROT:P04264;CON_IPI00009867.3|SWISS-PROT:P13647;CON_IPI00300725.7|SWISS-PROT:P02538;CON_IPI00299145.9|SWISS-PROT:P48668;CON_IPI00293665.7|SWISS-PROT:P04259;CON_IPI00697851.1|SWISS-PROT:Q5XQN5;CON_IPI00124499.2|TREMBL:Q8VED5;CON_IPI00139301.3|SWISS-PROT:Q922U2;CON_IPI00462140.1|SWISS-PROT:Q6IFZ6;CON_IPI00554648.3|SWISS-PROT:P05787;CON_IPI00017870.1|TREMBL:Q9H552;CON_IPI00241841.9|SWISS-PROT:Q5XKE5;CON_IPI00748057.2|H-INV:HIT000016045;CON_IPI00787323.2|H-INV:HIT000292931	1595.88	NA	260.26	614.017	4433.02	NA	861.721	6271.43	NA	985.779	1653.73	1038.65	1870.2	5806.44	1465.84	1247.63	5515.91	993.412	2411.43	4117	962.457	1043.79	834.21	2289.61	NA	2497.86	955.107	1331.29	410.022	7747.63	3245.88	6213.87	1839.8	3470.12	4510.17	2416.5	3093.84	9033.03	NA	1430.03	686.442	4329.68	6170.12	1636.36	1036.51	NA	NA	NA	5678.53	1234.53	1341.45	940.671	989.481	4362.48	2551.04	2430.21	1273.29
Q5XKE5;P48668;Q9NSB2;Q01546;P78386;P02538;Q8N1N4;Q14533;O95678;P78385;P08729;P14136;O43790;P05787;P04259;P13647;P12035;P08670;CON_00166205.2|TREMBL:Q7RTT2;CON_103456|SWISS-PROT:Q14533;CON_104456|SWISS-PROT:P78385;CON_105456|SWISS-PROT:Q9NSB2;CON_106456|SWISS-PROT:P78386;CON_107456|SWISS-PROT:O43790;CON_120456|TREMBL:Q6NT21;CON_130456|TREMBL:Q6ISB0;CON_IPI00009867.3|SWISS-PROT:P13647;CON_IPI00300725.7|SWISS-PROT:P02538;CON_IPI00299145.9|SWISS-PROT:P48668;CON_IPI00293665.7|SWISS-PROT:P04259;CON_IPI00697851.1|SWISS-PROT:Q5XQN5;CON_IPI00124499.2|TREMBL:Q8VED5;CON_IPI00124800.2|TREMBL:Q61726;CON_IPI00131368.3|SWISS-PROT:P50446;CON_IPI00139301.3|SWISS-PROT:Q922U2;CON_IPI00221797.1|TREMBL:Q8BGZ7;Q99MH7;CON_IPI00420312.4|SWISS-PROT:P07744;CON_IPI00406377.3|SWISS-PROT:Q9DCV7;CON_IPI00554648.3|SWISS-PROT:P05787;CON_IPI00005859.3|SWISS-PROT:O95678;CON_IPI00008359.1|SWISS-PROT:Q01546;CON_IPI00166205.2|SWISS-PROT:Q8N1N4-2;CON_IPI00241841.9|SWISS-PROT:Q5XKE5;CON_IPI00290857.2|SWISS-PROT:P12035;CON_IPI00306959.10|SWISS-PROT:P08729;CON_IPI00787323.2|H-INV:HIT000292931;CON_IPI00847342.1|TREMBL:Q3KNV1;Q96GE1;CON_K2M2_SHEEP|SWISS-PROT:P15241;CON_K2M3_SHEEP|SWISS-PROT:P25691	1049.89	3224.03	363.248	1441.51	2447.16	NA	631.801	828.686	179.425	NA	646.724	1355.44	452.963	2099.34	449.264	NA	746.513	NA	364.291	416.854	483.229	420.638	278.049	2462.17	205.629	NA	7710.81	841.471	271.769	6061.3	811.593	794.558	678.609	NA	827.701	1419.14	850.343	3537.91	1863.42	1607.16	5356.3	2089.8	1882.56	NA	NA	794.352	4327.15	1340.15	4151.97	2604.49	530.32	277.535	1717.55	832.15	5303.87	430.159	175.28
Q5XKE5;Q01546;P35908;P12035;CON_IPI00021304.1|SWISS-PROT:P35908;CON_IPI00008359.1|SWISS-PROT:Q01546;CON_IPI00241841.9|SWISS-PROT:Q5XKE5;CON_IPI00290857.2|SWISS-PROT:P12035	NA	NA	NA	NA	NA	NA	NA	NA	NA	1048.74	1055.09	NA	NA	NA	NA	NA	1328.3	NA	NA	NA	NA	NA	NA	NA	NA	978.991	NA	NA	NA	2673.14	NA	1345.48	NA	962.004	NA	797.499	1025.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1182.35	NA	NA
Q5XKP0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1858.23	1405.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1064.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1672.97
Q5XPI4	2614.59	NA	1653.88	NA	768.894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1390.04	NA	NA	NA	NA	NA	NA	255.929	NA	624.146	1011.26	NA	1196.56	1649.31	NA	NA	NA	NA	NA	2669.38	NA	NA	NA	NA	4059.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	593.06	NA	537.491	NA	NA
Q5XXA6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	586.491	NA	NA	NA	NA	NA	NA	NA
Q5ZPR3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1056.17	NA	NA	NA	NA	NA	NA	1264.67	NA	NA	2141.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1082.19	NA	1234.85	2644.52	NA	1410.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q629K1	NA	4733.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q63HK5	NA	NA	NA	2967.93	2037.71	NA	2085.91	907.604	NA	NA	NA	NA	NA	NA	4128.39	3400.1	39515	5721.64	NA	1474.21	20016.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1701.85	NA	24462.9	39251.9	1010.31	NA	NA	3392.43	18206.1	15810.2	3326.78	4875.47	17727.5	13170.7	NA	1188.78	18768.9	NA	NA	4267.17	1841.79	NA	NA	3799.18
Q63HM1	1639.38	265.227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1031.76	NA	NA	NA	NA	NA	428.345	331.924	4653.2	NA	NA	NA	NA	1841.11	NA	NA	2914.55	3058.65	NA	2346.51	1175.23	NA	NA	NA	682.117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q63HN8	40401.1	398.035	6334.12	4140.8	3585.95	21066.8	5968.81	2227.76	NA	1701.68	5368.23	5255.4	4575.46	8258.8	886.252	1225.7	3141.5	13037.4	4313.93	4869.72	5369.68	2205.95	5928.84	464.98	993.056	1652.99	27052.5	1716.09	8659.81	3733.46	17078	5341.21	9599.78	4681.35	3348.37	4552.1	5937.46	22818.8	3401.65	2786.83	4058.25	5940.47	3544.92	9590.95	8642.65	1563.31	4596.53	1176.67	1460.39	2823.82	1196.79	2102.78	14601	2109	5111.24	9757.15	12562.3
Q63HR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	357.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	203.814	NA	NA	NA	NA	NA	383.653	1741.89	2093.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q63ZY3	NA	761.794	NA	950.794	2045.28	1401.4	1284.71	830.089	493.012	NA	NA	NA	NA	1063.77	NA	NA	4425.24	NA	1370.55	1435.35	1001.67	NA	NA	NA	NA	906.694	NA	NA	425.287	NA	NA	NA	NA	1412.37	1238.06	1364.76	3508.22	7296.43	NA	664.717	NA	NA	525.878	468.501	NA	687.632	NA	NA	NA	1102.59	NA	NA	770.98	NA	1278.45	1208.11	NA
Q641Q2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	450.258	NA	NA	NA	NA	1492.46	NA	211.697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q658P3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3034.56	9313.86	NA	1163.45	NA	NA	3209.11	2802.13	3954.2	NA	NA	NA	3089.3	1162.76	260.246	NA	NA	NA	NA	1380.57	1711.92	5105.56	819.828	4250.68	NA	NA	446.783	NA	NA	NA	NA	NA	NA	NA	NA	2544.86	NA	NA	NA	NA	1130.65	NA	NA	NA	2133.11
Q658T7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1494.77	815.998	NA	NA	NA	NA	2394.05	2281.42	NA	NA	NA	NA	NA	NA	1570.92	NA	890.898	1136.65	NA	NA	NA	2211.24	NA	NA	NA	1679.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q658Y4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	864.863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q66GS9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8396.69	293.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	1446.12	2930.49	NA	NA	NA	NA	NA	NA	NA	6958.86	NA	2659.78	272.439	NA	NA	19587.2	NA	NA	15646.4	NA	NA	NA	NA	NA	NA	12347.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q66K14	NA	NA	NA	NA	NA	1967.87	NA	NA	1162.68	1153.03	933.215	955.578	NA	799.952	NA	NA	846.403	3553.1	1431.46	7082.9	2481.89	2905.63	NA	NA	NA	NA	295.294	NA	NA	2269.78	NA	1431.85	1793.94	850.34	7746.39	1858.28	1697.93	10127.1	914.945	NA	NA	NA	NA	NA	NA	374.155	523.994	NA	NA	NA	1081.46	1604.31	240.757	NA	1382.34	1652.45	1690.29
Q66K74	309.262	NA	1053.85	1038.24	NA	794.096	1362.03	759.104	2501.23	616.191	409.67	NA	NA	NA	NA	914.592	2943.38	3211.18	1139.99	1331.57	1805.72	156.912	1107.31	NA	483.375	1584.89	1398.22	992.419	725.328	2210.42	1418.54	3447.02	1289.3	1693.08	3114.47	2936.84	1777.51	2156.9	1112.96	2867.24	2844.53	1749.48	1146.97	2073.97	1731.43	1504.25	1263.12	NA	2708.81	1505.74	818.906	1004.83	1702.84	NA	2997.45	4018.04	3125.27
Q66PJ3	NA	3345.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	522.617	1538.13	NA	NA	NA	NA	NA	NA	287.707	NA	4952.46	NA	NA	505.419	5915.7	NA	NA	2223.25	3982.44	1644.61	882.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195.473	NA	NA	NA	NA	NA	NA
Q674R7	NA	NA	NA	NA	NA	728.632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	327.953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	620.806	NA	578.871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q685J3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	648.455	NA	NA
Q687X5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	606.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2589.5	NA	1648.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1416.46	NA
Q68BL7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	376.824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q68BL8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	587.291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	872.516	NA	NA	NA	NA
Q68CJ9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490.194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q68CK6	3820.76	23437.9	2320.74	6755.92	39373	3611.24	37375.1	26120	NA	NA	NA	NA	29606.1	20636	100.564	410.892	NA	NA	48585.3	40186.7	10473.6	65805.5	NA	17434.5	11604.7	620.546	36564.2	NA	3211.54	29275.9	981.781	4382.96	9566.76	81757.4	1561.3	17983	18803.8	62836.9	NA	NA	NA	NA	NA	NA	496.455	NA	NA	1971.5	NA	NA	NA	NA	2172.21	NA	NA	NA	1668.88
Q68CQ4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	223.719	NA	NA	NA	NA	255.536	507.78	NA	NA	NA	NA	NA	309.818	NA	143.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.6114	NA	NA	NA	NA	NA	NA	340.304	NA	2308.19	NA	NA	NA
Q68CQ7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	368.714	NA	NA	671.757	NA	NA	NA	NA	NA	NA	NA	113.765	NA	NA	489.401	238.546	NA	NA	313.311	NA	NA	404.177	NA	NA	NA	NA	NA	NA	NA	NA	379.921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q68CZ2	779.976	NA	652.485	NA	NA	NA	455.03	NA	515.975	422.924	NA	NA	NA	NA	480.487	699.113	3788.75	3619.42	1478.54	6792.92	2526.2	551.447	NA	NA	NA	1145.46	NA	646.289	NA	1596.31	822.484	1382.23	621.911	1504.04	2484.19	3476.46	3266.24	3541.68	NA	586.953	761.639	1185.29	423.568	NA	NA	NA	1365.36	539.546	NA	508.791	100.014	NA	1278.12	199.463	6713.62	3313.77	NA
Q68D51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	214.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	175.288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q68DA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	369.643	NA	NA	NA	NA	529.833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q68DH5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1212.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1166.51	NA	NA	NA
Q68DK2	8576.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1019.88	2854.46	NA	NA	NA	NA	2121.91	3330.12	2448.2	2096.58	1333.05	NA	NA	NA	339.474	NA	NA	554.459	NA	NA	1131.9	4265.19	381.134	NA	633.85	3293.92	726.555	NA	1190.28	NA	NA	6709.54	9191.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	752.387
Q68DN1	NA	NA	NA	NA	NA	344.388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	339.985	NA	NA	NA	NA	NA	NA	NA	NA	1021.92	NA	977.589	NA	392.852	697.781	NA	766.34	619.662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1043.65	529.829
Q68E01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	571.947	NA	NA	NA	257.097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	389.188	NA
Q68EM7	NA	1667.98	841.45	NA	660.041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2246.92	3328.23	4853.25	2239.92	1986.52	1607.79	268.893	NA	NA	NA	NA	NA	925.947	NA	NA	1833.38	2473.18	NA	3059.94	4243.2	2271.46	2806.94	2527.78	1174.46	NA	450.239	NA	NA	2005.32	NA	1322.29	1087.4	1569.41	NA	1128.12	2430.58	1380.11	NA	3057.48	5377.19	1862.35
