"","C_T_13","C_T_14","C_T_15","C_T_31","C_T_32","C_T_40","C_T_44","C_T_49","C_T_52","C_T_55","C_T_58","C_T_6","H_T_1","H_T_10","H_T_11","H_T_12","H_T_16","H_T_17","H_T_18","H_T_19","H_T_2","H_T_20","H_T_22","H_T_23","H_T_24","H_T_25","H_T_26","H_T_27","H_T_28","H_T_29","H_T_3","H_T_30","H_T_33","H_T_35","H_T_36","H_T_37","H_T_38","H_T_39","H_T_4","H_T_41","H_T_42","H_T_43","H_T_45","H_T_46","H_T_47","H_T_48","H_T_50","H_T_51","H_T_54","H_T_56","H_T_57","H_T_7","H_T_8","fd","P_value","P_value_adjust"
"O60784|TOM1_HUMAN",1499470,489833,695226,241171.5,405980,2359980,1151880,1068920,692657,3113450,1374565,784532,2436420,1453240,542135,2450670,775022,1219174.5,2779285,375503,1921000,492698,692927,1438980,616667,2331550,8132760,4587370,684641,2175690,2449160,2808830,1631380,5557570,11649400,2840390,1916840,4119970,1180970,1537620,965739.5,2406260,1067010,924461.5,4017030,4058390,2452670,2516280,5801170,5256020,4814780,707716,2237940,1.1879167175895,0.00118770910115618,0.0106182516996121
"O60826|CCD22_HUMAN",221543,230642,129252,50673.65,135741,449763,191930,208673.5,138681,554043,471099.5,105123,264173,820551,455538,28136.9,221053,1299370,476256,154577,160902,42667.8,154696,113407,58142.7,544063,172525.45,277544,213290,264190,509303.5,481317,335297,639499,1380280,468871,197180,644372,276961,560443,405846.5,1132800,920261,282808.5,872744,396647,503099,702562,289067,1207140,833212,80651.5,224392,0.950675062825166,0.00339736766999827,0.022366874947404
"O60888|CUTA_HUMAN",9497920,18644600,8126800,2473580,2344480,14384800,1971470,701208.5,3460020,9578270,4589575,3169000,5328420,30111300,7704170,9706910,12272750,13366650,64654150,2306710,28103500,966151,17626400,15298800,10759710,15594300,25888150,23948200,4827090,16161800,13481900,22134400,15412800,27131500,57190200,6577250,16205100,33899700,21504300,3610010,518963.5,16524100,9819840,6439340,54700300,10852700,14138250,18164900,8941090,38430500,26053300,9129650,27441000,1.50009418460233,8.56339264819933e-05,0.00181413918840896
"O75052|CAPON_HUMAN",0,0,0,0,29857.2,3650.17,0,0,0,0,0,0,0,0,0,99740.3,0,0,0,0,0,0,6924.95,369281,0,530902,426014,125083,0,1166280,70118.2,484940,0,0,790215,0,162709,758676,0,0,0,1154710,133232,140570,1919290,830679,149316.8,0,732785,1075700,250570,0,0,6.6349298702712,0.000284888632653824,0.00394116407975193
"O75122|CLAP2_HUMAN",73022.5,0,0,0,0,237607,0,43811.6,106436,208841,151285.75,59931.2,137550,128799,116814,98687.6,25881.15,147129.4,284820.5,0,237778,0,285046,77615.6,0,137287,234297,246317,59125.8,85613.6,182587.5,159717,272600,202670,443616,129173,110532,364739,128758,235146,0,258897,206797,111321.5,442734,311182,99593.75,189888,315002,472115,24544,66966.7,312904,1.28691714234921,0.00241191219768172,0.0174741133148069
"O75153|CLU_HUMAN",116081,181198,617760,17040.2,0,707073,138460,123141.2,189241,349338,1026284.5,0,1136800,258361,443031,520567,62089.7,1071414.5,554822.5,352530,296698,64038.1,740573,395042,552482.5,845408,763016,710636,401306,1104930,711753,1797160,2026160,1190140,2793750,1844590,2456590,4113730,285229,325845,0,1084190,3021970,332540,4454680,2717780,2143300,1165960,1437500,3304940,2517700,634976,467222,2.10959064422788,1.51437924956348e-05,0.000684563408658307
"O75170|PP6R2_HUMAN",0,0,800509,0,0,176204,0,91397.2,26686.1,261277,242593,17844.4,111285,159372,49440.6,371335,43155.7,201202,290858,104713,2323.77,74739,1235750,540599,86857.5,1653140,536202.5,207761,159296,928437,214328.5,402569,1225400,1398620,4158660,1638180,870949,2186310,10109.4,0,0,1515460,1182090,146716.8,2820490,2661020,1154484.5,3095440,1662110,1177820,173245,176778,717429,2.67794846199772,7.45877665076693e-05,0.00166821907042763
"O75191|XYLB_HUMAN",19530.2,0,675898,0,0,0,0,23305.9,0,0,210630,0,320772,1551330,222764,267443,278534,685629,729570,427763,94894,158706,1527420,856317,224973.5,2056980,1233699.5,407171,564572,1367200,564108,982891,1249490,2722430,1881100,1756300,1354600,2043290,152265,0,0,2875230,617627,407733.5,3961070,2809750,1183400,4249240,90937.3,2682900,536702,207402,516978,3.8510374376753,4.41684117610002e-07,0.000124795856199728
"O75208|COQ9_HUMAN",28346.5,156735,553485,0,0,301425,1079660,208783.5,194347,254466,395803,0,784536,540793,8709.6,197865,55249.7,1040779.5,656524.5,351571,431021,83123.4,367232,494269,117675.9,303659,385978,165110,479758,389238,748747,372062,787659,1707080,1736100,2006210,759273,2315290,100838,278056,174566,2246760,1178900,721609,3726700,746839,1200377,3182510,534450,2056520,1149110,202639,92638.3,1.68578626704703,0.000734132479092786,0.00766243314357169
"O75251|NDUS7_HUMAN",357342,204579,1642680,199887.2,0,1046920,1463850,689754,624943,1720580,1179913,114951,2710440,574927,615168,517545,80962.15,1359215,2228965,169776,1563370,0,2071010,2016990,166706,410250,2099355,1288550,621352,2422820,2146065,779074,3024790,3835440,2375920,2419700,2415790,4261120,873205,1587540,440002.5,3741500,4467920,1242335,3298090,1670790,856638,1798250,1488610,4131270,890701,828534,359730,1.14487167751607,0.00110946925363216,0.010261791266664
"O75306|NDUS2_HUMAN",565424,437147,1341220,385782,336064,2501050,853906,735673,1098590,1891140,771430.5,864033,1928860,1505600,520058,806746,181607,2555710,3036345,266079,1541370,623463,2259380,1393990,390775.5,1555180,2973715,1247080,952292,3750210,1994645,1754540,4178010,3420310,3908160,2905050,1675370,3550090,1036110,1104270,356355.5,4911240,4707340,1410310,6822270,2461840,1478235,3348010,3124480,4944020,2804640,1069660,1306410,1.18875487887397,0.00014941921416073,0.00251079040758567
"O75347|TBCA_HUMAN",652529,349804,351812,59936.15,64863.8,9266200,0,104136.4,514384,4383920,4773165,363943,94826.2,623308,258147,1344160,142163,677228,247336,217298,606468,213197,3086990,117073,0,4061300,2928240,5430870,155458,3823400,1826550,5207610,1380200,10388100,16449400,5788640,9647620,12775300,1962070,164165,219546,12798500,17318500,4239190,18170200,7322090,9143905,8506890,9484980,27826600,12637700,79515.5,950556,1.61330580336821,0.0091555358215977,0.0460214443530428
"O75356|ENTP5_HUMAN",0,0,2008420,1150950,0,0,260463,138384.85,33954.9,308906,234273.6,0,754680,2175450,718811,716626,431227,1721190,2316935,999222,2754680,324901,9229670,1184720,403635,2672240,1563320,1209990,3377250,5215950,913506.5,958676,4412020,4714910,3003940,4682270,3013090,1680750,933691,254166,63096.8,2899230,20650900,1347420,11730300,4488610,1823305,19695100,3491010,3049650,6672830,1442740,3717500,3.34339408976367,8.02207975322567e-05,0.00173965303837688
"O75380|NDUS6_HUMAN",0,0,768653,63517.65,0,945397,355570,76239.4,517268,845248,601155,57391.7,0,735486,127805,410100,0,1051362,878277,139484,923427,0,1191570,647122,0,77778.8,113778.2,341708,498461,1286520,556854.5,542936,417045,2199140,1102780,1664090,2659040,1597510,323631,0,134370,2586450,1069190,448586.5,1607220,51067.5,970012.5,1614690,646913,1393580,749489,1012980,433074,1.155749702014,0.00734005574391213,0.0393446501536776
"O75387|LAT3_HUMAN",0,0,139821,0,0,0,0,0,0,0,0,0,0,0,0,47068.2,0,248400,0,18823.9,0,0,815805,0,0,43121,0,234135,101877,116958,0,159835,0,248949,256172,403922,0,642451,0,0,0,68774.1,355292,0,410527,409341,26782.44,1322090,199626,0,26451.7,0,0,3.68784481770992,0.00258772106321386,0.0184029321325255
"O75439|MPPB_HUMAN",547804,962772,564535,152644,42748.4,1413080,1012510,405483.5,718293,879444,1445875,32635.4,2210850,2207570,401122,1776820,126575,2782965,1886855,404018,3306890,199872,2190060,1463480,859367,3024180,6931850,1371340,841543,2477710,3447850,3176350,5998230,3104380,4711110,3545120,3286650,4925140,435188,443140,78134.75,2469680,4988250,483910.5,4597400,2834900,1981370,5612140,2739760,7033730,4051370,617401,468972,1.91670021742103,5.06803839160139e-07,0.000125122070906497
