"","C_T_13","C_T_14","C_T_15","C_T_31","C_T_32","C_T_40","C_T_44","C_T_49","C_T_52","C_T_55","C_T_58","C_T_6","H_T_1","H_T_10","H_T_11","H_T_12","H_T_16","H_T_17","H_T_18","H_T_19","H_T_2","H_T_20","H_T_22","H_T_23","H_T_24","H_T_25","H_T_26","H_T_27","H_T_28","H_T_29","H_T_3","H_T_30","H_T_33","H_T_35","H_T_36","H_T_37","H_T_38","H_T_39","H_T_4","H_T_41","H_T_42","H_T_43","H_T_45","H_T_46","H_T_47","H_T_48","H_T_50","H_T_51","H_T_54","H_T_56","H_T_57","H_T_7","H_T_8","fd","P_value","P_value_adjust"
"Q16740|CLPP_HUMAN",755040,0,846454,76993.1,0,2390160,296037,822348,734992,852436,1765055,211077,672780,1328420,288344,274752,197422.5,1345095,2179545,261139,1293830,17784.6,3989100,1899240,524520,297160,965802.5,386333,546159,7438630,2053405,1493400,4368900,3638430,9711900,4146670,2109750,8716620,1151720,1342670,385836,3600200,4245230,2506890,9236090,3944780,3838955,8741200,1095080,12791600,1238400,259575,545785,1.94438705360426,0.000293001321738512,0.00402735649730087
"Q16762|THTR_HUMAN",5146000,9947080,21870500,2354370,3244130,449502,5683550,4312735,2174020,3515940,5025865,2444290,2415120,26127000,1182360,6443880,2568795,19077850,30271800,19296700,4928480,11686600,27093200,46818800,1729220,14437500,11803485,11160100,18966900,29979700,19197850,24631700,43866500,39181600,34684200,46916400,18074300,55375500,12143500,2590670,1513510,54620700,17789000,6454505,55499200,26762700,46452150,113493000,30728200,58597000,12649600,19127800,11623000,2.19888435684417,3.82541413518699e-06,0.000327404444450203
"Q16773|KAT1_HUMAN",0,30097.6,0,0,0,0,0,0,0,448737,191123.5,0,66736.9,457881,0,447676,0,715380,90916.95,73313.8,0,84289.4,644853,150585,0,108876,33926.9,131688,0,0,116492,0,346347,520252,0,286122,173771,934967,113641,201584,0,23760.3,991837,38670,636732,114055,74939.6,419561,0,897543,817150,0,0,2.08526590478439,0.00499250585499421,0.0295363088324496
"Q16775|GLO2_HUMAN",513691,46181.5,2510880,160857.6,133891,2041170,419178,742003.5,1413430,3964510,1692035,153285,408764,4858480,64477.7,414755,481332.5,2654995,2352410,1592020,953361,559036,3721140,1498230,826641.5,1331500,1417202.5,2938480,1879860,2206200,914720,4879750,4730350,13312400,16146500,12192700,11826700,45365700,3220670,1045590,1470270,14179100,5004190,1678700,27131200,2847730,9008370,15215600,2903470,20185100,9156860,2694390,285720,2.43923166806913,0.000867404257535241,0.00853967473791214
"Q16822|PCKGM_HUMAN",1644070,13591900,52169600,856292.5,4903450,2929300,5224320,999793.5,3131340,6304050,3562305,449557,4562040,63156600,1847920,4935090,2757200,38152800,15046000,27384500,9225670,4612520,131564000,21135200,4537950,8295210,12507520,21476800,53788400,24431400,11026390,20574600,33947100,73176200,86690300,177701000,36062400,47589600,18477900,5455430,969776,44124100,47064300,2700830,57066600,18407900,62992000,224494000,22739600,102221000,22785300,38166700,18578400,2.30990814799769,0.000492285357186794,0.0058087862275405
"Q16836|HCDH_HUMAN",2036170,2485200,6634620,532791.5,357563,11810900,1673350,5171570,1595150,7424850,4052015,931601,3552900,13514100,2383480,1993150,966924,7168310,8489350,3556270,3725020,994484,6169830,6377270,1729105,4502530,7126935,10033600,4544920,12064900,5178360,23217200,13233700,46768100,66481100,70883700,53246500,162518000,4612860,3564080,2109575,81747600,20593700,10665090,60491800,24129800,58517550,110839000,39756300,91134400,34610000,4045220,4104930,2.83690810663101,0.000237564250873865,0.00345787965160847
"Q16850|CP51A_HUMAN",501003,283369,1166180,82884.55,0,253212,141246,99395.45,114086,400574,1458554,0,415295,517864,66619.2,1009870,292064,1219182.5,2163765,144752,410356,119040,1147620,497968,56419.4,5007620,2647805,1585460,281011,3975840,282900.5,602388,1684530,689301,1735460,884769,431746,2206370,490116,118781,0,2834080,2970280,138582.5,6844050,1341320,1107419,784129,2461460,3700090,711906,206019,772411,1.82700731713557,0.000825287857618556,0.00831636225754083
"Q16851|UGPA_HUMAN",4394690,12881900,16475700,1987560,6766990,3369890,9087790,2083930,6393520,10789300,6605050,3275330,3205430,60249900,3275680,2884560,10283080,8142695,18469100,29987000,5649900,5194360,26157400,21672100,3004210,7767960,9481155,3735160,26804100,29728200,7555640,85126800,26255500,40640200,17103400,67846700,5988330,82024400,26510400,10866000,3154260,81032600,16734700,6581505,62218100,7526520,15273350,46751400,23671700,66632900,31727300,38643900,15825600,1.88490666078237,2.29437510118474e-05,0.000844740518297543
"Q2PPJ7|RGPA2_HUMAN",24423.8,54493.6,20188.1,0,0,33853.8,41532.7,93217.7,29098.4,12134.6,0,0,0,88149.3,68787.8,28449.2,0,48005.465,141777,0,84087.8,0,206724,12462.9,0,213288,117730,463707,34960.8,134005,34482.3,69841.4,492835,122562,239073,356919,145255,269864,155128,92230,79789.8,108787,117292,94107.15,401712,169220,61980.8,390720,302264,272746,824557,0,274508,2.67003275892786,9.73499390287452e-06,0.00054498131843007
"Q2TB90|HKDC1_HUMAN",1055830,402032,385945,124676,0,19232.2,0,176720.45,41793.2,43215.6,499735.5,31081.2,2364620,726604,162382,1284810,480394.5,4706950,1675575,443936,3200610,321570,0,0,76829.2,1286190,3272470,4801400,101022,11560200,408319,2313800,6867080,1850670,0,742262,3684360,43098.5,722827,29125.2,0,0,6173950,1170385,1009630,9289580,0,53063.8,6589210,19404200,12893000,344417,2665140,3.56878570784022,0.000420822870211325,0.00515880368178318
"Q32P28|P3H1_HUMAN",298425,0,137828,115627.65,0,136579,47013.9,117689.55,268877,516665,497159,52164.6,334131,123212,375578,146070,62939.95,334339,95136.1,0,494432,131682,401010,255720,73030.3,446543,277410.5,522166,31233.8,172210,742262.5,294669,1951560,344773,193063,140501,977124,309156,124690,834367,207278,694820,1329120,386895.5,450006,1166830,134871.5,507467,298017,610697,352177,98480,387819,1.16932590252105,0.00640746362162361,0.035609964491084
"Q3LXA3|TKFC_HUMAN",655442,1438010,8653370,182517.5,1229380,4756180,2161180,1057830,889445,3091780,1085946.5,798008,1098180,14413600,1001730,1858380,7643835,4408005,1352005,7826960,750136,653125,12064900,8594700,1188180,887019,2176060,5304660,8901660,12919400,1641670,13117100,53189900,10284500,7484430,25227300,2780280,22302000,1303370,324553,1857830,5532150,2836910,1782330,51800200,1863760,22842650,7097150,6006090,1920470,5403010,2688740,6835890,1.97478571814325,0.00233293848658858,0.0170171956197864
"Q3ZCQ8|TIM50_HUMAN",423855,203586,544617,100539.05,36425.4,885101,87816.7,45537.2,750585,838436,2275283,238221,4422780,613808,581315,1397160,48523.45,1930355,2252960,186191,1880220,1114750,1713100,655998,44889.75,3423620,2203118,1223980,265001,1329870,1617100,1542880,3048340,927838,3009440,1423050,2793790,4595800,466103,174032,81678.7,1615900,5757290,1121895,2860060,4524550,1032198,2405260,5531500,6064140,3283520,89968.5,730804,1.8642447623916,4.82451725729992e-05,0.00127969323448794
"Q49A26|GLYR1_HUMAN",114865,198966,106357,119928.75,80176.4,470256,501580,444973,478435,347300,570828,164668,186380,37598.6,411462,192494,147564.5,1286691,1406110,119106,288484,114293,362275,239966,0,590652,575051.5,363142,150748,430016,387231.5,3437030,527868,517359,1049320,332744,823679,681626,499863,490792,947998.5,705918,344354,276340.5,1241310,1056100,1366585,2458850,170935,274268,377831,218549,370841,1.05020972570433,0.0078360065055262,0.0409270347916783
"Q4G0N4|NAKD2_HUMAN",1236970,2085630,7960980,184098,1120340,4241110,1046040,825925.5,1045520,1868370,1160287.5,334956,1954780,14723800,528201,5002790,502316.5,19034350,5406625,7526680,4402380,1896160,4416460,20481200,1250500,1486240,9302785,2335060,8193240,9146160,5351550,2801320,8476490,18106600,6206500,36092000,6392930,16559000,1469400,1343940,928537,12126900,6862320,1423900,39332900,30619100,7704675,9942600,6109370,20395100,2952940,4494780,8667730,2.23591705840038,4.31503022013211e-05,0.00122558314084195
"Q4VC31|CCD58_HUMAN",481273,273792,748596,120460.05,0,1776480,703493,123521.95,1046900,547766,1350642.5,157218,1271140,643284,472738,1007250,9684.17,2243640,1150823,223689,992977,1053310,686119,556569,13576.8,1434820,3662175,1085970,516821,1460570,1179240,1062940,1057960,2611220,3560390,3025930,2327280,4074430,548609,546103,237081.5,2484180,2133290,932455,5496150,2601930,788298,4768570,2787930,9365330,3764650,190647,1034240,1.58361869838274,0.000445241944477961,0.00539246800302648
"Q53GQ0|DHB12_HUMAN",2383410,4467020,3909460,2025505,1663370,3483430,1568700,2567395,2838460,5095950,925370,1140770,3213730,6354880,4986690,1928340,1445615,7472125,15861850,971440,2273750,2206020,5322470,582829,616226.5,11769300,6166965,4034190,4096030,4999120,1550175,2535960,6100100,4255780,3423060,4866410,856294,5954400,2046170,4712770,4356555,5754480,3105130,2618430,11223200,2698090,3238785,1987500,6860330,9983230,2594080,3330100,3834210,0.733584932112719,0.00739636853770627,0.0394329648202131
"Q53H12|AGK_HUMAN",328504,0,308579,43176.2,0,930456,110080,425253,533509,775488,1221090,0,1154780,444388,401821,311274,32266.6,1095120.5,882138.5,95861.8,351603,118479,1278890,704077,78281.7,1096700,934703,1171060,162599,2900320,2171975,1833410,2775350,1692370,1550150,1376240,2118400,3004410,459648,527034,110764.05,1291480,1656690,1000457.5,2816390,3934080,1909780,4187940,1610560,3747950,2277680,0,381027,1.80035563977297,3.50437411688785e-05,0.00106106497435392
"Q53H82|LACB2_HUMAN",1407360,415307,556385,150607,114258,2111570,385324,250810,657836,769369,796157,62454.9,601360,807902,227044,354970,113536.9,1321197,1956960,531158,1081810,166846,2663710,136633,266731,943497,673477,433109,522907,2775330,634192,1022420,2250340,3219170,1450700,1880650,4135290,4286890,718792,634276,561113,2825220,3282380,480026,1892510,2139620,2304895,4775100,1072470,5055500,2979260,621891,271997,1.28842749031683,0.00166096045420694,0.0135645103760234
"Q53H96|P5CR3_HUMAN",468296,0,690674,205833.5,0,2788400,82496.3,164908,532861,1185530,1320647,420413,675887,1044430,440981,729298,847901,3570265,2228330,480994,5682050,729732,2452430,1357710,1237140,559430,752349.5,1133040,363839,4043460,804023.5,788073,4378670,1917150,4557270,1102130,5272190,840899,1554680,731179,456326.5,2697980,3348020,212827.35,1248110,2553910,1932100,5922390,509756,4758860,1085000,408791,1270710,1.51365469015909,0.00109508795605466,0.0102022780695426
"Q53LP3|SWAHC_HUMAN",0,0,96443.2,0,0,56969.3,0,0,248807,0,0,0,0,0,0,0,0,77708.8,0,71887.1,218780,0,240414,135550,0,0,454775,77018.9,36752.8,194592,70991.8,62025.1,544158,0,1060690,0,0,1286020,0,0,0,50096.9,757894,77702.9,1369040,0,114040.5,1184850,900718,926213,424215,0,532551,2.98346103224846,0.00115880675309359,0.0105210474513547
"Q53S33|BOLA3_HUMAN",0,0,74318.5,7794.025,0,222487,0,0,55216.4,0,162619,51378.6,0,43258.5,35756.7,31032.6,0,57246.2,227515,53453.3,413404,101912,645759,57212.9,0,306582,80331,122985,29762.5,322665,131433.2,229769,0,18261.5,974234,7053.33,363091,0,219658,0,0,0,0,54425.8,166375,118274,33870.3,184887,557179,630280,43413.3,35670.8,294046,1.74920953770089,0.00701857618552085,0.0381581239514686
"Q53SF7|COBL1_HUMAN",119627,39333.1,455526,0,0,459586,0,0,133804,0,54934.9,0,0,801424,0,110084,0,84816.1,48035.7,199843,0,0,196402,456605,0,255248,699325,134689,563769,537949,151299.5,371875,366855,623293,421667,717058,88792.1,362956,47393.3,0,0,1204510,85295.7,84667.8,1742070,644410,1113039,552412,406108,814169,434082,96032.9,164889,1.75679586706429,0.00253717844431491,0.0181968138928015
"Q53T59|H1BP3_HUMAN",867430,17085.5,576957,37195,15128,794922,58893.7,1145624,983692,1336870,1847605,159908,2802520,158698,1598810,39676.3,153811.4,391379,749921,43226.4,244989,120962,4226750,118697,653487,1620630,1259894,1469490,149868,462872,745497.5,1598040,1563890,2408050,4458740,1475520,2145770,3570260,82027.4,2110080,1439860,909585,2156000,555105,3622700,346465,485442,1186500,2192140,2967000,3280220,427603,1804670,1.10923462377976,0.00616833826966864,0.0347268326670217
"Q562E7|WDR81_HUMAN",123902,132125,148770,8574.38,160563,0,0,0,150939,78116.3,194974.9,0,0,0,605153,24704.7,37298.4,669597,407642,372129,56772.3,0,50981.5,198273,106485.35,205458,274985,61653.5,0,298764,1180000,145836,474249,141773,296532,225237,286342,351231,61291.8,0,171999.5,161416,263809,62518.45,214037,517762,708238.5,517418,192684,28666.3,534602,109783,147839,1.57562730300859,0.00053071283621696,0.00611606049493118
"Q5BKU9|OXLD1_HUMAN",0,54024.8,52878.6,0,0,116041,0,0,0,0,0,0,52830,71970.8,0,7767.5,0,40054.7,64958.7,5584.6,10354.3,149454,602774,30091.5,0,24326.6,25826.1,16017.8,10987.9,84200.3,34338.05,25918.1,386375,133709,878785,358219,300028,897901,39455.1,0,0,341780,108097,0,1241370,256628,265629.5,1125010,9107.45,582276,0,65966.9,12835.5,3.43890598846036,0.000898188045100173,0.00881570192889604
"Q5EBL8|PDZ11_HUMAN",238330,0,0,0,0,324842,0,23437.3,312080,314400,882492,0,179670,664985,203836,216830,0,449672.35,1405233,0,1613380,0,487289,186440,30638.8,689503,648177,813341,17352.4,214625,391002.5,778760,319245,886176,1567270,408760,384138,1253580,744907,0,0,554297,381526,251322,1010050,1782580,555978.5,407716,839256,835188,958104,0,617240,1.66773215464594,0.00111505981291638,0.0102986603440435
"Q5HYK3|COQ5_HUMAN",59012.6,200088,687927,49787.95,109646,471213,91621.9,9232.21,99273.9,524258,353903.15,0,731522,631430,30582.7,542678,19866.4,711443.5,734912.5,410720,570616,120407,353010,229106,114006.5,1145130,1518610,517683,696128,1090980,1061110,611688,1762880,1386510,2685280,2049930,1857900,4215730,414127,370847,0,1897010,2134590,350011.5,3497130,870777,627595.5,2416320,1116610,1718260,1866440,193226,319974,2.26419228735198,4.75925168105877e-06,0.000377201330669928
"Q5JPH6|SYEM_HUMAN",0,0,287695,0,0,73214.2,0,0,0,32336.6,47549.75,0,22204.9,0,0,0,0,237132.9,0,29134.5,0,0,0,403721,0,134019,110898.85,0,42317.2,211271,70277.55,76124.2,220302,147695,93296.5,373495,271619,234366,0,0,0,391402,243598,20489.6,526433,102207,221486.9,752406,47665.5,268517,267662,0,0,1.87382966213503,0.00945054841044618,0.0470256358501194
"Q5JTJ3|COA6_HUMAN",526344,200615,429756,0,26404.4,1301430,705301,0,297627,568984,1121634,79371.5,254348,145206,330162,257826,194291,674948.5,946556,289391,401646,545720,2061410,602928,106858.9,59279.2,3159335,0,0,839556,329478,976106,1801020,2517140,8237850,2193320,1570940,1108560,1050770,216090,36659.6,6395190,2423360,960497,6595480,4068230,1384885,4293720,4068020,834307,484056,0,351397,1.8049663472525,0.00185395581704889,0.0145780934114742
"Q5JTZ9|SYAM_HUMAN",219185,462324,333668,136362.3,118261,1401570,434837,363344.5,291269,255320,223222.4,0,554713,125861,404043,496191,102255.7,606696,3627455,162485,807186,383570,981503,1265860,116751.5,455636,338273,1298220,79724.2,624180,518751.5,1997690,1104030,641289,2592470,512663,664915,1113910,443036,112374,0,1086200,697068,330523.5,1744070,1176850,531536,1402180,738097,1462370,1118820,150837,478498,1.19008809549381,0.00514320636523595,0.0302051616271268
"Q5K4L6|S27A3_HUMAN",0,0,348165,0,0,0,0,382818.5,0,893578,0,0,392912,139883,60816.2,79957.7,0,119509,3625255,98850.8,0,39474.8,894412,568424,131876,386785,0,118981,547337,970649,374088.5,710671,2983120,742122,339677,703912,454409,804367,152588,1155910,192009.9,101378,729683,572425,1521410,174654,196283.5,2407950,3056270,564352,2381880,436726,1247480,2.44280877610813,0.000535123175117518,0.00613384939478455
"Q5R372|RBG1L_HUMAN",0,0,0,9168.94,0,0,0,0,0,0,0,0,0,0,0,0,0,17242,21851.4,0,0,0,0,0,0,21411.2,85392.9,0,0,0,0,0,76145,0,131373,0,0,51551.9,33026.5,0,126323,0,73610.9,35840.95,84128.3,0,0,0,0,0,0,0,0,4.59651362028007,0.00305483683455882,0.0206845966677564
"Q5R3I4|TTC38_HUMAN",502010,568626,2494730,0,0,19946.6,466949,364821.5,222304,899242,554814,312363,1016850,2349500,577771,1372420,1117880,1395945,353083.5,2730880,2010790,709889,2946610,3148210,611057,1931300,1711075,651442,1462480,2194480,935183.5,1815430,6538800,5783460,2618170,6649210,2579620,11521000,640579,567704,701179,11082600,1505080,1062642,11280200,4527850,3732170,10026700,3202030,13157000,1926450,2927410,2141120,2.62712308971311,1.35811887371917e-05,0.000656489848232464
"Q5SRE7|PHYD1_HUMAN",0,0,373717,0,0,0,0,212719,110117,201420,0,0,0,220161,0,0,196424.95,270088,0,225145,0,22252.6,518155,236673,0,0,0,0,79476,241626,64529.9,134856,164016,1601680,1079080,807597,1228700,1802130,0,0,0,1595420,0,243338,858492,0,76111.95,2722480,0,1032250,0,64622.5,0,2.33549440823948,0.00560136532620799,0.0323047295857404
"Q5SRH9|TT39A_HUMAN",79834.5,0,25652,0,0,0,0,0,0,0,1307.83,0,61911.5,0,0,178936,0,865465,439861,252640,0,0,685098,748322,32979.7,0,93685.4,164935,71995.5,0,171340,15025.1,0,0,0,72786.3,129609,0,98068.2,0,0,0,0,136134,0,0,383191,0,992947,36741,44301,14710.3,0,3.96310510125095,0.00225036122716971,0.0165607012465084
"Q5SWX8|ODR4_HUMAN",83439.3,15920.5,101020,0,0,247077,290723,87608.1,180059,124423,175213.5,0,77396.2,0,7922.97,194187,0,315120.5,77644.25,54167.6,88861.1,46576.4,237447,68358.8,0,166777,89089.5,0,90872.5,532761,45732.95,7217.12,800131,393187,544336,555781,264097,275289,0,161427,0,718588,786161,154288.5,1073190,254782,619420.5,986778,630398,344969,434533,103017,10698.5,1.32969562064425,0.00385609311228281,0.0244390575190014
"Q5T013|HYI_HUMAN",84622.9,555897,0,0,0,638185,0,0,925991,704995,0,0,0,1906010,122304,127112,53732.2,0,826782.5,426145,0,0,0,264207,0,453830,523496,323971,0,0,206382,800704,0,1721720,2129800,1049330,1176760,658034,1385730,0,0,1316770,984773,351532,2405350,930135,1664691,1123070,268664,4102870,1865820,208959,0,1.56324244694069,0.00813797620549591,0.0420932064972428
"Q5T2W1|NHRF3_HUMAN",0,19804.8,589655,37203.9,0,0,0,150792,0,0,129941.7,0,7527280,568113,220621,615718,3611.72,974419.5,438552,308733,1117720,160338,3482260,343321,0,1618470,2982325,3256450,1453690,1483210,3431945,3643680,2874560,2753650,5453680,3611610,390598,6316830,2133230,0,0,5156550,3661010,541685.5,14678600,8851180,4486265,1947160,5547460,8637580,3082570,901676,3050460,5.21520491058977,7.52639568497127e-07,0.000150974793443221
"Q5T440|CAF17_HUMAN",251281,0,51278.1,0,0,522928,147992,271798,258971,454688,0,23844.1,201160,0,0,622515,0,1164101.5,1168466,68570.2,421855,0,1057790,639636,48408,880893,294315.5,523602,391398,1135000,281950,548397,1434300,873273,2471440,1161380,399930,1980390,81258.3,0,0,997193,711123,225340,3281020,1463310,183063.5,2291250,907493,1701150,2320740,445104,263954,2.26848888059386,2.37353607734485e-05,0.000865666368208896
"Q5T6J7|GNTK_HUMAN",0,0,91581.5,0,0,0,0,30048.075,0,0,77045.7,0,109577,197746,0,16031,0,0,123943.55,90418.4,0,0,412841,61728.6,0,283910,66873.1,0,181823,0,14733.1,0,0,271522,0,721379,137057,189944,0,0,144802,275542,275169,24417.7,32874.5,0,435374,1244240,144540,0,96486.2,45911.7,0,3.04406550098297,0.00271756704461127,0.0190854079424067
"Q5T8D3|ACBD5_HUMAN",107170,148150,1630430,181838.5,101803,2141200,357252,110692,432574,916650,1455152.5,342221,3178780,921325,678115,703711,159713,2058625,1461840,417073,632362,441370,4212360,935040,1123378,670474,1051302,1225670,1053870,1535630,219404.5,1305620,3504620,3067570,8359830,2989270,2567290,2433770,1885770,581178,116445,1583520,8054220,251336,2566920,205318,1395540,3872420,3888200,8665810,6429260,702816,1286100,1.70683337346058,0.000516753957825583,0.0059982706243805
"Q5TAQ9|DCAF8_HUMAN",68779.8,84181.3,99759.9,0,15201.7,313618,264210,0,190218,409093,344217.5,0,0,255866,63570.6,155703,0,722349.5,118550.45,26872.7,304411,29739.3,289283,342129,70378.4,44969.3,64170.85,13309.7,191555,1611710,12222.3,963024,876644,1095390,797378,392234,800792,1425190,222835,0,0,980661,263872,150974.65,3095770,731796,889361,1567780,993887,0,850100,163548,224597,1.76672556827394,0.00151001027443858,0.0126868533398184
"Q5TC12|ATPF1_HUMAN",0,0,88956.1,15970.4,0,54525.5,62473.7,20405.7,64465.5,0,271312.5,0,330826,0,43634.8,0,0,298296,154287.35,12026.9,19841.5,0,136342,0,0,102540,77550.9,288181,54403.8,0,171655.5,177176,76186.1,55783.3,615053,295226,532001,329853,211218,0,0,902096,838517,33368.8,22002.2,387162,461340,806030,0,407758,110875,22397.1,0,2.01323240531143,0.00195361741594496,0.0150362951953845
"Q5TDH0|DDI2_HUMAN",341964,101353,797191,100317.15,59090.2,1552380,91039.5,83491.4,515101,1405380,560923.5,114775,654355,1243150,515668,544607,285917.5,644152,1336035,1173140,629191,223083,645836,453113,234791.5,1486350,5694510,3017940,887181,20606.7,1263499.5,3381710,1647010,1665120,4221970,1249850,1396530,5452850,637999,552097,358434,4128810,3575380,289144,4962610,704632,1669090,1833680,1296310,3350590,2629330,216563,624355,1.77235295212582,0.00017894626024265,0.002855926702652
"Q5TEU4|NDUF5_HUMAN",0,11420.7,11486.4,0,0,124444,0,0,0,0,0,0,39394,0,0,38537.5,0,136092.7,84747.3,0,0,0,0,0,0,24958.1,225874.5,0,29729,0,148975,246090,167014,233610,591189,66547.3,196201,779411,73737.5,0,0,0,371467,0,305671,103404,50331,118699,286634,1240800,281027,0,0,3.53608393670812,0.00189672900107436,0.0147398346947897
"Q5TFE4|NT5D1_HUMAN",280754,343311,361697,80389.45,124389,171204,640663,48639.55,49068,426047,137099.4,93722.3,136974,766964,291070,29286.2,145580.5,512602.5,1050467,73908.4,219736,150283,547239,362909,55536.6,106925,189165.7,519550,63095.9,345523,468500.5,765747,687552,1114790,1400310,376758,1027430,2295690,1277600,125224,77229.85,336460,564576,171088,1557840,455500,279481,818170,716059,1595520,661091,156670,1171300,1.32914921069085,0.000746515131662904,0.007728839726039
"Q5U5X0|LYRM7_HUMAN",309161,0,138791,0,0,325295,0,40523,0,210048,860255,0,180597,0,0,337843,0,827787.5,1057925,0,686931,158757,2003420,187170,0,627761,698535,910929,315280,90444.3,204456,1333130,1173010,597531,2708980,839130,983923,1488240,892943,0,0,612271,2358700,192925,1122130,342953,549961.5,1009930,1044390,804049,880622,115631,12106.8,2.08704524241296,0.000177127263445054,0.002855926702652
"Q5VT66|MARC1_HUMAN",29720.9,0,52641.9,0,0,0,0,0,366281,0,0,0,0,0,0,150095,0,561613.5,689915.8,146218,0,0,2167310,914604,39755.1,1337600,3112980,349643,85206.8,515479,0,0,380201,367737,553658,872725,297021,1145820,370750,0,0,639184,448961,121849.35,839249,1011780,27446.3,1376230,365597,507369,173450,165614,475013,3.72077087667016,6.34688767551621e-05,0.00150334582985751
"Q5VWJ9|SNX30_HUMAN",0,10087.5,0,43596.4,0,37246.9,90080,70914.5,0,68201.6,251775,0,0,0,128925,167684,17743.9,274645.5,91201.5,0,138895,0,0,27660.8,661692,480833,809604.5,375172,0,389173,132742.45,0,231246,414696,371604,82415.8,248073,210413,30864.3,265832,0,235862,513042,85724.6,305424,322223,40990.5,330296,490048,856302,354239,11431.4,155614,2.24338500370891,6.07557182130731e-05,0.00146067390607774
"Q5VWZ2|LYPL1_HUMAN",1663040,0,1108080,136990,0,1961510,35040.5,994059,1716800,2365710,2169095,1134170,475344,2946330,249658,1051140,886422.5,2275231.5,7821065,1154190,4882790,274765,4974300,4340100,802140.5,2328450,6386665,1189370,923679,6920290,1237793.5,204298,11520600,7152720,4227600,5236830,4282760,4164400,1536790,761668,1424025,13232200,6819100,2198490,12028900,5727200,9391410,7309260,6233020,10768800,7256520,1503470,1289320,1.95015439113553,4.8185868694398e-06,0.000377201330669928
"Q5VYK3|ECM29_HUMAN",174256,136933,256960,315470,720097,1669430,363075,564517,402211,567358,1102249.5,273857,798223,348527,1311720,242137,160625.7,1070899.5,2451880,140974,1428570,77947.7,425668,593939,142874,1435990,1680155,879755,397413,732353,873549.5,1329080,991419,1145560,2350900,913350,785515,1841480,1104370,1823820,337581,956395,2429650,302790.5,956888,1148410,597315,1019940,2475290,2174400,1068860,382365,1136310,0.924904334301826,0.00652717687177037,0.0361500848489163
"Q5W0V3|F16B1_HUMAN",47880.3,0,40594.1,0,0,151884,0,118048.35,193023,0,71097.5,0,212529,0,0,0,0,52392.2,39466.9,0,38075,0,48795.4,0,0,66951.1,22931.9,155666,20540.2,173449,36299.2,0,180617,214752,398060,131826,200978,184637,0,224303,218272,218834,242147,81943.85,434556,305273,213370,268664,421167,395424,130036,0,36906.2,1.33581791030784,0.00875560588971928,0.0445695751039715
"Q5XKP0|MIC13_HUMAN",304481,89783.7,295488,0,0,1162340,30641.5,143133,347599,366321,828530,65525.7,716008,811116,213619,294936,57326.75,357948,1110320,112462,973375,90301.7,815420,753601,85090.65,585410,1344350.5,324662,263204,870597,757498,605508,330501,895579,1509380,648271,790791,1539990,284743,240976,136211,726596,743317,405736.5,706459,680642,444389,1260490,942015,2224870,978262,0,577743,1.13196439223093,0.00892266138581114,0.0451692140658689
"Q5XPI4|RN123_HUMAN",0,0,0,0,0,28511.7,0,23933.185,0,0,75082.9,0,386013,25426.7,43214,0,0,0,0,0,0,0,549569,0,0,15740,0,0,0,0,9645.91,0,0,341423,245545,180486,0,0,0,68716.9,0,286043,174770,0,67917.8,0,0,74117.3,303615,44638.9,11959.9,0,0,2.6987382826821,0.00934171829534302,0.0467177927482427
"Q629K1|TRIQK_HUMAN",0,0,0,0,0,110430,0,0,0,0,0,0,0,86507.7,0,100968,0,424168,317948,20228.1,0,0,83405.1,639523,0,259607,263567,210476,0,517239,0,190184,0,0,0,0,175646,0,86348.5,0,0,0,0,140228,0,0,24151.5,0,168029,0,0,0,245252,3.38932806558456,0.00151806879967688,0.0127331781345474
"Q63HM1|KFA_HUMAN",0,0,133346,0,0,0,0,0,0,144613,0,0,184658,0,0,63616.9,51874.1,107651,189329.7,594241,62266.9,0,1288060,89918.7,88894.7,0,0,379139,752778,200899,0,98580.1,0,864763,548448,1570770,358557,2157370,0,32285.8,56865.15,574742,209833,205758.5,1775130,577485,826190,1295750,334289,301161,247359,957601,90608.6,4.17349848479239,3.30561803710188e-05,0.00104009202183608
"Q66PJ3|AR6P4_HUMAN",22957.6,0,0,0,0,436115,0,0,0,0,204560.5,0,0,0,122210,163046,0,0,222401.5,0,312309,0,980446,17922.6,0,426339,158045.5,169627,0,73680.1,84098.2,422532,0,437657,1051530,0,868744,471692,287485,0,0,109795,601951,0,1138090,416404,242897,1892440,118843,129520,167852,0,356119,2.33543138487535,0.00367672691042037,0.0236832018692127
"Q68CK6|ACS2B_HUMAN",0,0,5068250,0,0,0,1078150,194717,867685,2987380,682858,0,1277650,762586,0,119647,666252,4511025,3702465,9494990,85429,949991,20228600,1482400,0,1150560,265693,5455540,13622500,6357100,4192235,21064600,14204800,16421300,38338900,42129000,5726880,16482300,2330150,1901020,335227,29453600,7989070,1416890,42300500,1341350,22671850,22999800,4772880,19375200,14630200,7616110,569202,3.45775427801433,2.26475102683965e-05,0.000844740518297543
