"To","ES","fd","P_value","P_value_adjust"
"AKR1C3",0.28271496,4.08744282324409,0.000699213837302541,0.00745557080007477
"AKR1C4",0.3129818,3.60485817308996,0.000858443188424277,0.00847745665614682
"AKR1D1",0.43179774,3.28472247202647,0.00821722670930906,0.0424689035805595
"ALAS1",0.019331912,6.01612693005631,3.96276428694721e-06,0.000332457228338748
"ALDH3A2",0.19312562,2.18095614706814,0.000167492373769286,0.0027218570815824
"AMACR",0.42292187,3.72100827948937,0.00652661738509077,0.0361500848489163
"ARSD",0.4804127,1.83824582400635,0.0268302985125474,0.103613455005994
"ARSL",0.15645769,3.43675814895896,3.39671653720488e-05,0.00104824631982299
"BAAT",0.13274886,4.03134480518308,2.16162096931563e-05,0.000830864970181857
"BCHE",0.47813314,2.06104236119435,0.0343309151134776,0.122622475986305
"BDH1",0.15040499,2.8176163422635,2.50453398895951e-05,0.000899441120956864
"BDH2",0.24165805,1.36002173621179,9.76899430522271e-05,0.00194742777780201
"CBR1",0.29417178,3.02455204743905,0.000584583022743254,0.00648147526704519
"CD36",0.13068703,6.3933651502085,5.73879343379632e-05,0.00141681980967456
"CERS2",0.26205274,2.64249585298444,0.000188425597684845,0.00295000954033907
"CHD9",0.45835048,3.09932766222019,0.0139542546575064,0.0637072266333808
"CHKA",0.45980605,Inf,0.0208575754716791,0.0857136856291346
"CHPT1",0.4054216,4.34063443385709,0.00520742076474843,0.0304430181137706
"CPT1A",0.4559707,2.3015118379417,0.0150810565322546,0.0671792518254977
"CPT2",0.1729297,1.61030497854496,4.28008033761685e-05,0.00122558314084195
"CRAT",0.08147139,2.28194729521383,1.96328442581791e-06,0.000239330908167865
"CROT",0.08631293,4.42287216406352,1.40204629255194e-05,0.000666647048288214
"CTSA",0.288724,1.71055148874777,0.000270087279017396,0.00380712420940999
"CYP27A1",0.13474166,3.21346429979868,1.41475684854556e-05,0.000667744427265732
"CYP2C8",0.38448128,2.54695225472895,0.00208326778580758,0.0156770174878064
"CYP2C9",0.42493626,2.36870541566676,0.00485273780125145,0.0290034673614833
